"time","reg","ira","roll","roth",mom, dad
2015-07-22 18:01:28,199610,188380,136808,9670,399322,397616
2015-07-25 07:45:03,193399,187071,137859,9613,399322,397616
2015-07-27 22:34:07,189615,185530,136225,9541,399322,397616
2015-07-28 07:46:04,190908,185945,137097,9541,399322,397616
2015-07-29 07:46:06,190820,186956,136763,9740,399322,397616
2015-07-30 07:46:05,189190,187183,136143,9826,399322,397616
2015-07-31 07:46:06,188139,186658,135509,9840,399322,397616
2015-08-03 07:46:04,186587,186343,136239,9971,399322,397616
2015-08-04 07:46:04,177135,184798,134855,10061,399322,397616
2015-08-05 08:14:04,168019,183991,134092,10080,399322,397616
2015-08-06 08:14:04,171093,184476,133017,9938,399322,397616
2015-08-07 08:14:04,169097,184093,133207,9921,399322,397616
2015-08-10 08:14:06,171455,184360,133935,9927,399322,397616
2015-08-11 08:14:05,176380,185769,132065,9989,399322,397616
2015-08-12 08:14:06,160382,181771,126887,9996,399322,397616
2015-08-13 08:14:05,170628,184356,130349,10026,399322,397616
2015-08-14 08:14:04,167664,183230,129421,10133,399322,397616
2015-08-17 08:14:04,183767,184460,129726,10182,399322,397616
2015-08-18 08:14:05,185044,184553,128975,10121,399322,397616
2015-08-19 08:14:05,184843,184191,128709,10148,399322,397616
2015-08-20 08:14:04,179010,182308,126771,10075,399322,397616
2015-08-21 08:14:05,170495,179419,124262,9987,399322,397616
2015-08-24 08:14:05,130474,169309,112909,9708,399322,397616
2015-08-25 08:14:05,152589,172517,118620,9728,399322,397616
2015-08-26 08:14:04,148733,170640,119416,9581,399322,397616
2015-08-27 08:14:04,165857,175708,124491,9597,399322,397616
2015-08-27 23:40:29,171532,178466,125949,9703,399322,397616
2015-08-27 23:41:35,171532,178466,125949,9703,399322,397616
2015-08-28 08:14:04,169401,177936,124922,9694,399322,397616
2015-09-04 00:50:51,170492,176989,122183,9632,396104,395208
2015-09-04 08:30:05,168322,176504,121223,9585,395121,393823
2015-09-04 16:00:04,167561,175889,121024,9553,394325,392410
2015-09-09 16:00:05,170250,176322,123913,9582,398484,392672
2015-09-10 08:30:04,170206,176274,123902,9589,397583,392533
2015-09-10 16:00:08,177264,177844,125377,9607,399038,395109
2015-09-11 08:30:05,176625,177693,125099,9558,398888,394737
2015-09-11 16:00:07,181288,177600,125650,9590,399709,396412
